Authors	RECOMB 2019 Paper Title (Original)	LNCS 11467 Pages	LNCS 11467 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Year	Journal Version DOI (Check for hallucinations)
Fatemeh Almodaresi, Prashant Pandey, Michael Ferdman, Rob Johnson, Rob Patro	An Efficient, Scalable and Exact Representation of High-Dimensional Color Information Enabled via de Bruijn Graph Search	1-18	10.1007/978-3-030-17083-7_1	bioRxiv 464222	Journal of Computational Biology	An efficient, scalable, and exact representation of high-dimensional color information enabled using de Bruijn graph search	Fatemeh Almodaresi, Prashant Pandey, Michael Ferdman, Rob Johnson, Rob Patro	27(4):485-499	2020	10.1089/cmb.2019.0322
Aryan Arbabi, David R. Adams, Sanja Fidler, Michael Brudno	Identifying Clinical Terms in Free-Text Notes Using Ontology-Guided Machine Learning	19-34	10.1007/978-3-030-17083-7_2	NONE	JMIR Medical Informatics	Identifying Clinical Terms in Medical Text Using Ontology-Guided Machine Learning	Aryan Arbabi, David R. Adams, Sanja Fidler, Michael Brudno	7(2):e12596	2019	10.2196/12596
Philipp Benner, Martin Vingron	ModHMM: A Modular Supra-Bayesian Genome Segmentation Method	35-50	10.1007/978-3-030-17083-7_3	NONE	Journal of Computational Biology	ModHMM: a modular supra-Bayesian genome segmentation method	Philipp Benner, Martin Vingron	27(4):442-457	2020	10.1089/cmb.2019.0280
Lodewijk Brand, Xue Yang, Kai Liu, Saad Elbeleidy, Hua Wang, Hao Zhang	Learning Robust Multi-label Sample Specific Distances for Identifying HIV-1 Drug Resistance	51-67	10.1007/978-3-030-17083-7_4	NONE	Journal of Computational Biology	Learning Robust Multilabel Sample Specific Distances for Identifying HIV-1 Drug Resistance	Lodewijk Brand, Xue Yang, Kai Liu, Saad Elbeleidy, Hua Wang, Hao Zhang, Feiping Nie	27(4):655-672	2020	10.1089/cmb.2019.0329
Boying Gong, Elizabeth Purdom	MethCP: Differentially Methylated Region Detection with Change Point Models	68-84	10.1007/978-3-030-17083-7_5	bioRxiv 265116	Journal of Computational Biology	MethCP: differentially methylated region detection with change point models	Boying Gong, Elizabeth Purdom	27(4):458-471	2020	10.1089/cmb.2019.0326
Chirag Jain, Haowen Zhang, Yu Gao, Srinivas Aluru	On the Complexity of Sequence to Graph Alignment	85-100	10.1007/978-3-030-17083-7_6	bioRxiv 522912	Journal of Computational Biology	On the complexity of sequence-to-graph alignment	Chirag Jain, Haowen Zhang, Yu Gao, Srinivas Aluru	27(4):640-654	2020	10.1089/cmb.2019.0066
Jonathan D. Jou, Graham T. Holt, Anna U. Lowegard, Bruce R. Donald	Minimization-Aware Recursive  K\*(MARK\*): A Novel, Provable Algorithm that Accelerates Ensemble-Based Protein Design and Provably Approximates the Energy Landscape	101-119	10.1007/978-3-030-17083-7_7	NONE	Journal of Computational Biology	Minimization-Aware Recursive K*: A Novel, Provable Algorithm that Accelerates Ensemble-Based Protein Design and Provably Approximates the Energy Landscape	Jonathan D. Jou, Graham T. Holt, Anna U. Lowegard, Bruce R. Donald	27(4):550-564	2020	10.1089/cmb.2019.0315
Mikhail Karasikov, Harun Mustafa, Amir Joudaki, Sara Javadzadeh-No, Gunnar Rätsch, André Kahles	Sparse Binary Relation Representations for Genome Graph Annotation	120-135	10.1007/978-3-030-17083-7_8	bioRxiv 468512	Journal of Computational Biology	Sparse binary relation representations for genome graph annotation	Mikhail Karasikov, Harun Mustafa, Amir Joudaki, Sara Javadzadeh-No, Gunnar Rätsch, André Kahles	27(4):626-639	2020	10.1089/cmb.2019.0324
Younhun Kim, Frederic Koehler, Ankur Moitra, Elchanan Mossel, Govind Ramnarayan	How Many Subpopulations Is Too Many? Exponential Lower Bounds for Inferring Population Histories	136-157	10.1007/978-3-030-17083-7_9	arXiv:1811.03177	Journal of Computational Biology	How Many Subpopulations Is Too Many? Exponential Lower Bounds for Inferring Population Histories	Younhun Kim, Frederic Koehler, Ankur Moitra, Elchanan Mossel, Govind Ramnarayan	27(4):613-625	2020	10.1089/cmb.2019.0318
Alan Kuhnle, Taher Mun, Christina Boucher, Travis Gagie, Ben Langmead, Giovanni Manzini	Efficient Construction of a Complete Index for Pan-Genomics Read Alignment	158-173	10.1007/978-3-030-17083-7_10	arXiv:1811.06933	Journal of Computational Biology	Efficient Construction of a Complete Index for Pan-Genomics Read Alignment	Alan Kuhnle, Taher Mun, Christina Boucher, Travis Gagie, Ben Langmead, Giovanni Manzini	27(4):500-513	2020	10.1089/cmb.2019.0309
